,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner,,1/2 Court,1/2 Court
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19755,.474,14.2,,.571,.244,.200,.085,.041,.429,,.552,.687,.450,.474,.405,.371,,.581,.909,,.059,396,,.246,1061,,.257,.381,,1,1
2,Boston Celtics*,82,19730,.467,16.2,,.533,.161,.196,.112,.064,.467,,.555,.754,.490,.481,.382,.367,,.463,.794,,.039,255,,.235,1055,,.162,.414,,0,0
3,Brooklyn Nets,82,19755,.443,14.5,,.545,.235,.211,.063,.036,.455,,.528,.686,.419,.410,.347,.340,,.548,.891,,.061,377,,.275,1032,,.236,.366,,1,0
4,Chicago Bulls,82,19755,.469,13.7,,.557,.310,.184,.042,.021,.443,,.559,.659,.429,.486,.359,.356,,.553,.906,,.041,264,,.326,1397,,.255,.374,,1,1
5,Charlotte Hornets*,82,19755,.460,15.5,,.513,.213,.204,.072,.025,.487,,.538,.706,.430,.408,.363,.378,,.518,.832,,.065,415,,.224,887,,.221,.436,,3,2
6,Cleveland Cavaliers*,82,19755,.482,14.4,,.558,.252,.190,.082,.034,.442,,.578,.708,.484,.480,.375,.360,,.574,.814,,.082,540,,.231,979,,.226,.377,,1,0
7,Dallas Mavericks,82,19855,.466,13.4,,.645,.229,.236,.108,.072,.355,,.533,.715,.455,.428,.368,.344,,.503,.888,,.065,414,,.263,1057,,.289,.377,,1,0
8,Denver Nuggets*,82,19930,.496,14.4,,.592,.212,.224,.097,.060,.408,,.565,.720,.491,.486,.424,.396,,.586,.829,,.046,288,,.266,1131,,.250,.440,,3,3
9,Detroit Pistons*,82,19805,.485,12.4,,.655,.252,.284,.082,.037,.345,,.553,.696,.487,.413,.398,.356,,.565,.863,,.087,583,,.319,1290,,.286,.376,,1,1
10,Golden State Warriors*,82,19805,.461,15.7,,.503,.198,.201,.067,.037,.497,,.565,.736,.483,.418,.365,.356,,.593,.886,,.034,226,,.279,1248,,.251,.398,,1,1
11,Houston Rockets*,82,19905,.479,13.7,,.650,.211,.225,.147,.067,.350,,.540,.700,.492,.439,.422,.364,,.494,.859,,.081,534,,.234,932,,.291,.377,,2,1
12,Indiana Pacers,82,19755,.458,14.8,,.578,.216,.197,.103,.062,.422,,.533,.677,.466,.453,.376,.356,,.566,.907,,.047,302,,.260,1077,,.226,.372,,0,0
