Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets*,82,243.0,43.5,87.8,.496,14.2,35.8,.396,29.4,52.0,.565,20.8,25.8,.808,9.8,34.2,44.0,29.0,6.8,4.0,12.9,19.1,122.1
2,Miami Heat*,82,240.3,43.7,93.3,.468,13.7,37.9,.361,30.0,55.4,.542,19.8,25.0,.792,11.8,34.5,46.3,29.0,8.6,4.3,13.7,18.9,120.9
3,San Antonio Spurs*,82,240.6,43.4,89.9,.483,13.6,37.9,.359,29.8,52.0,.574,19.3,24.6,.787,11.4,35.6,47.0,28.1,7.5,5.5,13.5,18.9,119.8
4,Cleveland Cavaliers*,82,240.9,43.3,90.0,.482,14.3,39.8,.360,29.0,50.2,.578,18.5,23.9,.776,11.7,32.7,44.4,28.3,8.5,5.0,14.0,19.6,119.5
5,Oklahoma City Thunder*,82,242.1,43.1,89.1,.484,13.8,37.9,.365,29.3,51.2,.572,19.0,23.2,.817,9.6,34.6,44.1,25.8,9.7,5.5,12.6,19.0,119.0
6,Atlanta Hawks*,82,240.9,43.6,92.0,.474,14.6,39.5,.371,29.0,52.5,.552,16.6,21.5,.774,11.0,32.6,43.5,30.1,9.4,4.7,14.2,19.7,118.5
7,Minnesota Timberwolves*,82,241.2,42.6,88.5,.481,13.8,37.2,.370,28.9,51.4,.562,19.0,25.3,.752,11.1,33.0,44.1,26.1,8.7,5.8,14.8,21.2,118.0
8,Detroit Pistons*,82,241.5,43.4,89.5,.485,11.0,30.9,.356,32.4,58.6,.553,19.9,26.1,.763,13.1,32.5,45.6,27.8,10.4,6.4,15.1,22.0,117.8
9,Utah Jazz,82,241.8,42.5,91.1,.467,12.6,36.7,.345,29.9,54.4,.550,19.9,25.3,.786,12.0,31.8,43.8,29.6,8.9,3.8,15.5,21.1,117.6
10,New York Knicks*,82,240.9,42.7,89.4,.478,14.2,38.2,.373,28.4,51.2,.556,16.8,21.3,.792,12.7,32.9,45.6,27.4,8.1,3.9,13.6,20.0,116.5
11,Chicago Bulls,82,240.9,42.4,90.5,.469,14.3,40.1,.356,28.1,50.4,.559,17.3,22.2,.776,10.4,34.7,45.0,28.5,7.6,5.0,15.3,19.0,116.3
12,Los Angeles Lakers*,82,240.3,42.0,83.7,.502,11.8,32.9,.359,30.2,50.8,.595,20.4,26.8,.763,9.4,31.5,41.0,25.9,8.5,4.3,14.5,18.5,116.3
13,Charlotte Hornets*,82,240.9,40.9,88.9,.460,16.4,43.3,.378,24.6,45.6,.538,17.8,21.7,.818,12.8,33.3,46.1,26.3,7.0,4.5,15.4,19.1,116.0
14,Philadelphia 76ers*,82,242.4,41.7,90.3,.462,12.3,35.3,.349,29.4,55.0,.535,20.1,24.8,.809,11.8,31.9,43.6,24.6,9.1,5.7,13.6,20.3,115.9
15,Orlando Magic*,82,241.8,41.0,88.3,.464,11.7,34.1,.343,29.3,54.2,.540,22.0,27.5,.801,11.0,32.4,43.4,26.5,8.5,4.7,14.2,21.0,115.7
16,New Orleans Pelicans,82,241.5,42.1,90.5,.466,11.1,32.1,.347,31.0,58.4,.531,20.1,25.7,.784,12.2,31.7,43.9,25.1,8.9,5.2,14.2,19.9,115.5
17,Portland Trail Blazers*,82,240.9,40.9,90.1,.453,14.5,42.2,.343,26.4,47.9,.551,19.3,25.2,.765,14.1,31.9,46.0,25.1,8.3,5.5,17.3,19.9,115.5
18,Houston Rockets*,82,242.7,43.0,89.8,.479,11.5,31.5,.364,31.5,58.3,.540,17.8,23.4,.763,15.0,33.1,48.1,25.4,8.5,5.8,15.4,18.3,115.2
19,Boston Celtics*,82,240.6,42.1,90.2,.467,15.5,42.1,.367,26.7,48.1,.555,15.1,18.7,.807,12.5,33.9,46.4,24.6,7.1,5.0,12.4,19.0,114.9
20,Memphis Grizzlies,82,240.6,41.3,90.6,.456,13.9,39.5,.353,27.4,51.1,.536,18.0,22.8,.793,11.2,31.0,42.1,27.8,8.8,4.8,15.1,20.5,114.7
21,Golden State Warriors*,82,241.5,40.9,88.8,.461,15.7,44.1,.356,25.3,44.7,.565,17.0,21.1,.807,11.4,31.0,42.3,28.9,9.7,4.2,15.7,19.6,114.6
22,Toronto Raptors*,82,241.2,42.6,88.4,.482,11.4,32.1,.354,31.3,56.3,.555,18.0,23.4,.769,10.9,31.2,42.1,29.5,8.8,4.8,13.7,20.9,114.6
23,Dallas Mavericks,82,242.1,41.9,89.8,.466,11.0,31.9,.344,30.9,57.9,.533,19.5,25.8,.755,10.5,34.2,44.7,25.3,7.5,5.2,14.5,18.4,114.1
24,Los Angeles Clippers*,82,241.2,40.5,83.6,.484,12.4,33.8,.368,28.1,49.8,.564,20.3,24.7,.823,9.6,31.0,40.6,23.7,9.0,4.9,14.3,18.9,113.8
25,Washington Wizards,82,240.9,41.8,90.4,.463,13.0,36.4,.359,28.8,54.0,.533,16.2,21.2,.766,11.0,30.9,41.9,25.0,8.0,5.5,15.7,21.3,112.9
26,Phoenix Suns*,82,240.9,41.0,90.1,.455,14.8,40.8,.361,26.2,49.3,.533,15.8,20.3,.781,13.0,30.1,43.1,24.6,9.5,4.2,14.5,20.6,112.6
27,Indiana Pacers,82,240.9,40.8,89.1,.458,13.4,37.6,.356,27.4,51.5,.533,17.4,22.5,.776,9.8,32.1,41.9,27.7,7.4,4.6,14.5,20.9,112.4
28,Sacramento Kings,82,240.9,41.6,89.0,.467,10.3,30.2,.340,31.3,58.8,.532,17.6,22.8,.772,11.5,30.8,42.3,25.5,8.0,4.5,14.3,19.7,111.0
29,Milwaukee Bucks,82,240.9,40.8,85.5,.477,15.1,39.1,.387,25.7,46.4,.553,13.9,19.1,.730,8.9,31.8,40.7,25.8,7.4,4.0,15.2,19.7,110.6
30,Brooklyn Nets,82,240.9,37.5,84.5,.443,13.1,38.4,.340,24.4,46.1,.528,17.9,23.0,.780,10.3,29.0,39.3,25.0,8.0,4.3,15.8,21.1,105.9
,League Average,82,241.3,42.0,89.1,.471,13.3,37.0,.360,28.7,52.1,.550,18.4,23.5,.783,11.4,32.4,43.8,26.7,8.4,4.8,14.5,19.9,115.6
